figure_id,filename,caption,source_date,notes,used_in_section
fig-01,fig-01_survey-schema-validation_2026-02-03.png,Survey schema validation and primary columns,2026-02-03,screenshot,Methodology
fig-02,fig-02_csv-load-missing-productivity-state_2026-02-03.png,CSV load check: missing Productivity_State,2026-02-03,screenshot,Methodology
fig-03,fig-03_heuristic-column-matching_2026-02-03.png,Heuristic matching of available data columns,2026-02-03,screenshot,Methodology
fig-04,fig-04_class-weights-cost-matrix_2026-02-03.png,Class weights and bio-energetic cost matrix,2026-02-03,screenshot,Methodology
fig-05,fig-05_somatic-feedback-vs-productivity-state_2026-02-03.png,Somatic feedback vs productivity state (box plot),2026-02-03,screenshot,Results
fig-06,fig-06_semantic-vocabulary-size_2026-02-03.png,Semantic vocabulary size summary,2026-02-03,screenshot,Methodology
fig-07,fig-07_biological-constraint-vector_2026-02-03.png,Biological constraint vector construction,2026-02-03,screenshot,Methodology
fig-08,fig-08_train-test-split_2026-02-03.png,Final dataset train/test split,2026-02-03,screenshot,Methodology
fig-09,fig-09_state-restoration-registry-rebuild_2026-02-03.png,State restoration and registry rebuild,2026-02-03,screenshot,Methodology
fig-10,fig-10_state-index-vs-eda-mean_2026-02-03.png,State index vs EDA mean distributions,2026-02-03,screenshot,Results
fig-11,fig-11_semantic-gap-dissonant-users_2026-02-03.png,Semantic gap: dissonant users,2026-02-03,screenshot,Results
fig-12,fig-12_bioenergetic-correlation-matrix_2026-02-03.png,Bio-energetic correlation matrix,2026-02-03,screenshot,Results
fig-13,fig-13_target-variable-distribution_2026-02-03.png,Target variable distribution (class balance),2026-02-03,screenshot,Results
fig-14,fig-14_resilience-stress-vs-focus_2026-02-03.png,Resilience analysis: stress load vs focus,2026-02-03,screenshot,Results
fig-15,fig-15_digital-stress-index-distribution_2026-02-03.png,Digital Stress Index distribution,2026-02-03,screenshot,Results
fig-16,fig-16_model-comparison-leaderboard_2026-02-03.png,Model comparison leaderboard (F1/AUC),2026-02-03,screenshot,Results
fig-17,fig-17_final-model-roc-curve_2026-02-03.png,Final model ROC curve,2026-02-03,screenshot,Results
fig-18,fig-18_shap-top-predictors_2026-02-03.png,SHAP top predictors summary,2026-02-03,screenshot,Discussion
fig-19,fig-19_final-research-summary_2026-02-03.png,Final research summary output,2026-02-03,screenshot,Conclusion
fig-20,fig-20_distributed-multimodal-framework_diagram_v01.png,Distributed multimodal framework diagram,n/a,diagram,Methodology
fig-21,fig-21_distributed-multimodal-framework_affective-computing_v01.png,Distributed multimodal framework for affective computing,n/a,diagram,Methodology
